symptom,possible_conditions,advice
night sweats in elderly,Sepsis; Tendonitis; Gastroesophageal reflux disease (GERD),"Possible causes include: Sepsis, Tendonitis, Gastroesophageal reflux disease (GERD). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats in child under 5,Depression; Kidney stones; Sports injury / sprain,"Possible causes include: Depression, Kidney stones, Sports injury / sprain. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats in smoker,Lupus (SLE); Parasitic infection; Asthma,"Possible causes include: Lupus (SLE), Parasitic infection, Asthma. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats in diabetic patient,Cellulitis; Tooth abscess; Pneumonia,"Possible causes include: Cellulitis, Tooth abscess, Pneumonia. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats in immunocompromised,Gout; Anemia; Hyperthyroidism,"Possible causes include: Gout, Anemia, Hyperthyroidism. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats after antibiotic use,Panic disorder; Irritable bowel syndrome (IBS); Seizure disorder (epilepsy),"Possible causes include: Panic disorder, Irritable bowel syndrome (IBS), Seizure disorder (epilepsy). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats after eating spicy food,Ovarian cyst; Deep vein thrombosis (DVT); Shingles,"Possible causes include: Ovarian cyst, Deep vein thrombosis (DVT), Shingles. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats after heavy meal,Occupational lung disease; Tooth abscess; Chronic kidney disease,"Possible causes include: Occupational lung disease, Tooth abscess, Chronic kidney disease. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats with weight loss,Kidney stones; Acute kidney injury; Heart attack (myocardial infarction),"Possible causes include: Kidney stones, Acute kidney injury, Heart attack (myocardial infarction). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats with sweating,Dengue fever; Diabetes (hyperglycemia); Typhoid fever,"Possible causes include: Dengue fever, Diabetes (hyperglycemia), Typhoid fever. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats with shortness of breath,Occupational lung disease; Transient ischemic attack (TIA); Glaucoma,"Possible causes include: Occupational lung disease, Transient ischemic attack (TIA), Glaucoma. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats with chest pain,Venous insufficiency; Irritable bowel syndrome (IBS); Stroke,"Possible causes include: Venous insufficiency, Irritable bowel syndrome (IBS), Stroke. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats with palpitations,Otitis media; Sepsis; Peripheral neuropathy,"Possible causes include: Otitis media, Sepsis, Peripheral neuropathy. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats during exercise,Insomnia disorder; Peripheral neuropathy; Vitamin B12 deficiency,"Possible causes include: Insomnia disorder, Peripheral neuropathy, Vitamin B12 deficiency. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats at rest,Bacterial infection; Eustachian tube dysfunction; Otitis media,"Possible causes include: Bacterial infection, Eustachian tube dysfunction, Otitis media. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats intermittent,Osteoarthritis; Iron deficiency anemia; Endometriosis,"Possible causes include: Osteoarthritis, Iron deficiency anemia, Endometriosis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats constant,Urinary tract infection (UTI); Tuberculosis; Depression,"Possible causes include: Urinary tract infection (UTI), Tuberculosis, Depression. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats episodes lasting minutes,Dehydration; Cellulitis; Lupus (SLE),"Possible causes include: Dehydration, Cellulitis, Lupus (SLE). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats episodes lasting hours,Sepsis; Anaphylaxis; Sports injury / sprain,"Possible causes include: Sepsis, Anaphylaxis, Sports injury / sprain. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fatigue in children,Peripheral neuropathy; Insomnia disorder; Lupus (SLE),"Possible causes include: Peripheral neuropathy, Insomnia disorder, Lupus (SLE). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fatigue in adults,Pancreatitis; Hypoglycemia; Allergic rhinitis,"Possible causes include: Pancreatitis, Hypoglycemia, Allergic rhinitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fatigue during pregnancy,Gastritis; Transient ischemic attack (TIA); Diabetes (hyperglycemia),"Possible causes include: Gastritis, Transient ischemic attack (TIA), Diabetes (hyperglycemia). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fatigue after eating,Rabies (rare); Anemia; Gout,"Possible causes include: Rabies (rare), Anemia, Gout. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fatigue on exertion,Fracture; Gout; Fungal infection,"Possible causes include: Fracture, Gout, Fungal infection. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fatigue at night,COVID-19; Autoimmune disease; Hypertension,"Possible causes include: COVID-19, Autoimmune disease, Hypertension. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fatigue in the morning,Rheumatoid arthritis; Bacterial infection; Shingles,"Possible causes include: Rheumatoid arthritis, Bacterial infection, Shingles. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
